Case #,Crime,Occurred (Averaged),Location
20-01879,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft Rec-Stolen: Recovered Stolen Vehicle,2020-11-19 00:32,600 Red Oak Ave
20-01880,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-11-18 20:08,Life Science Addition; Lsa
20-01887,5150: WI; 72 Hour Mental Health Hold,2020-11-19 20:01,2400 Durant Av; Unit-3
20-01888,22210: PC; Manufacture/Sale/Possess/Etc Leaded Cane/Billy/Etc 3056: PC; Violation Parole: Felony,2020-11-19 20:24,Peppertree Ln & Barrows Ln
20-01889,5150: WI; 72 Hour Mental Health Hold,2020-11-19 21:00,335 Ohlone Av #302 (Rev. 09/04/18)
20-01890,594: PC; Malicious Mischief/Vandalism,2020-11-19 04:30,Lower Sproul Garage; Lower Sproul Garage
20-01891,10-42: Welfare Check,2020-11-20 08:45,2424 Channing Wy; Cleary Hall
20-01894,Lost Prop.: Lost Property,2020-11-17 12:00,Hearst Av
20-01897,243.4: PC; Sexual Battery (Amended),2020-11-20 21:11,Frank Schlessinger Way
20-01898,23152 (F): VC; Dui Drug 14601.2(A): VC; Driving W/Lic Susp/Revoked For Dui Violation,2020-11-20 23:55,2601 Warring St; Ckc (Rev. 09/04/18)
20-01899,Caslty: Injury/Illness,2020-11-21 02:18,2400 Durant Av; Unit-3
20-01902,148.4 (A): PC; Tamper/Etc With Fire Alarm/Equipment (Amended),2020-11-21 05:06,Underhill Lot; Underhill Lot
20-01903,10852: VC; Tamper With Vehicle 459V-F: PC; Burglary Vehicle 182 (A)(1): PC; Conspiracy:commit Crime,2020-11-20 16:00,2650 Durant Av; Unit-1 Loading Dock
20-01904,484: PC; Petty Theft,2020-11-21 14:36,2151 Berkeley Wy; IGIB
20-01905,MISC: Miscellaneous Report,2020-11-21 13:56,UNKNOWN
20-01906,OABPD: Outside Assist - BPD,2020-11-21 17:45,2500 Dwight Wy
20-01907,148.4 (A)(1): PC; Tamper/Etc With Fire Alarm/Etc 626: Exclusion Order Issued,2020-11-21 19:14,2650 Haste St; Unit-2 Davidson
20-01908,SUPP: Supplemental Reports 422: PC; Threaten Crime W/Intent to Terrorize 422.6 (A): PC; Violate Civil Rights By Force Or Threat of Force 417 (A)(1): PC; Exhibit Deadly Weapon Other Than Firearm,2020-11-21 21:44,Hearst Field Annex; Hearst Field Annex
20-01909,Caslty: Injury/Illness,2020-11-21 22:54,2500 BLOCK Bancroft Wy
20-01910,626: Exclusion Order Issued,2020-11-21 23:16,2650 Haste St; Unit-2
20-01911,594: PC; Malicious Mischief/Vandalism,2020-11-21 23:43,2650 Haste St; Unit-2 Davidson (Rev. 09/04/18)
20-01912,626: Exclusion Order Issued,2020-11-22 05:48,Cesar Chavez Center; Cesar Chavez Center
20-01913,MISC: Miscellaneous Report,2020-11-20 23:00,HIGHLAND HOSPITAL
20-01914,148.4 (1): PC; False Tamper With Fire Alarm (Amended),2020-11-22 23:15,Underhill Lot; Underhill Lot (Rev. 09/04/18)
20-01915,5150: WI; 72 Hour Mental Health Hold,2020-11-24 00:26,Ucpd; Ucpd
20-01916,Caslty: Injury/Illness,2020-11-24 17:37,", West Side Exterior Door Area"
20-01917,Caslty: Injury/Illness,2020-11-24 18:37,Peoples Park; Peoples Park (Rev. 09/04/18)
20-01918,626: Exclusion Order Issued,2020-11-25 13:42,2400 Durant Av; Unit-3 Priestly
20-01919,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft,2020-11-14 12:15,2175 Gayley Rd; Stadium Parking Structure (Rev. 09/04/18)
20-01920,594: PC; Malicious Mischief/Vandalism,2020-11-26 09:52,Grinnell Path; Grinnell Path (Rev. 09/04/18)
20-01921,594: PC; Malicious Mischief/Vandalism,2020-11-27 02:26,Sather Gate; Sather Gate
20-01922,MP: Missing Person,2020-11-26 15:00,515 West End Wy #204 (Rev. 09/04/18)
20-01923,594: PC; Malicious Mischief/Vandalism,2020-11-28 14:31,2200 Bancroft Wy
20-01924,653 M(A): PC; Annoying Telephone Call:obscene/Threatening,2020-11-28 18:03,Simpson Center; Simpson Center
20-01925,148.4 (A): PC; Tamper/Etc With Fire Alarm/Equipment (Amended) 626: Exclusion Order Issued,2020-11-28 20:22,Underhill Lot; Underhill Lot (Rev. 09/04/18)
20-01926,653 M: PC; Make Annoying Telephone Calls,2020-11-26 05:44,XXXX
20-01927,"OUT WRTF: Other Agency Warrant, Fel",2020-11-29 09:38,580 WB PRIOR TO ASHBY EX (Rev. 09/04/18)
20-01929,Caslty: Injury/Illness,2020-11-30 02:40,2400 Durant Av; Unit-3 Priestly
20-01930,459: PC; Burglary: Second Degree 148.4 (A): PC; Tamper/Etc With Fire Alarm/Equipment (Amended) 10852: VC; Tamper With Vehicle,2020-11-30 03:20,Underhill Lot; Underhill Lot
20-01931,626: Exclusion Order Issued 664/484: PC; Attempted Petty Theft,2020-11-30 10:26,CAL STUDENT STORE
20-01932,487 (D)(1): PC; Grand Theft:auto,2020-11-25 11:10,525 Red Oak Avenue #303
20-01933,Lost Prop.: Lost Property,2020-11-30 13:42,Stanley Hall; Stanley Hall
20-01934,594: PC; Malicious Mischief/Vandalism,2020-11-29 15:18,Uva; Uva
20-01935,Caslty: Injury/Illness,2020-11-30 16:56,Haas Pavilion; Haas Pavilion
20-01936,INFO: Information Only Report,2020-11-30 20:56,Peoples Park; Peoples Park
20-01937,459: PC; Burglary: Second Degree,2020-11-28 08:54,2420 Bowditch St (Rev. 09/04/18)
20-01617,530.5 (E): PC; Mail Theft,2020-10-01 13:22,945 Ohlone Av #954; Uva-103 (Rev. 09/04/18)
20-01616,SUPP: Supplemental Reports,2020-10-02 12:12,Highland Hospital
20-01618,626: Exclusion Order Issued 602 (M): PC; Trespass:drive On Private Property (Amended),2020-10-02 07:13,Lbnl-85; Lbnl-85
20-01619,242: PC; Battery,2020-10-02 08:47,Bancroft Wy WESTBOUND Dana St
20-01620,496 (A): PC; Receive/Etc Known Stolen Property,2020-10-02 10:42,Oxford Tract; Oxford Tract
20-01621,626: Exclusion Order Issued,2020-10-02 17:18,Asuc ART STUDIO
20-01622,INFO: Information Only Report,2020-10-02 20:56,CENTENNIAL/GRIZZLY PEAK (Rev. 09/04/18)
20-01623,Caslty: Injury/Illness,2020-10-03 21:20,1301 S. 46th Street; RFS (Rev. 09/04/18)
20-01625,484: PC; Petty Theft,2020-09-22 20:30,UVA #169 Exterior Bike Racks
20-01629,594 (A): PC; Vandalism [under $1000],2020-10-04 22:05,Peoples Park; Peoples Park
20-01630,211: PC; Robbery:second Degree 594 (A): PC; Vandalism [under $1000],2020-10-04 23:15,Lower Sproul Pz; Lower Sproul Pz (Rev. 09/04/18)
20-01631,602: PC; Tresspassing 664/10851: PC; Attempt to Operate Vehicle W/O Owner's Consent (Amended) 484: PC; Theft,2020-10-05 04:27,Lbnl; Lbnl
20-01632,594 (B)(1): PC; Vandalism ($400 Or More),2020-10-02 17:00,Lawrence Hall of Science; Lawrence Hall of Science
20-01633,484: PC; Theft,2020-10-04 21:50,Wurster Hall; Wurster Hall
20-01635,PRODAM: Property Damage,2020-09-30 21:25,Lower Sproul Garage; Lower Sproul Garage
20-01636,10-42: Welfare Check,2020-10-05 10:50,2650 Durant Av; Unit-1 Christian
20-01638,484 (A): PC; Theft,2020-10-03 14:00,1040 Jackson St #416 (Rev. 09/04/18)
20-01639,148.4 (A): PC; Tamper/Etc With Fire Alarm/Equipment (Amended),2020-10-06 00:17,Underhill Lot; Underhill Lot
20-01640,484: PC; Theft,2020-10-06 14:36,Max Martinez; Max Martinez
20-01642,5150: WI; 72 Hour Mental Health Hold,2020-10-06 20:19,1 Sproul Hall
20-01643,594 (A)(2): PC; Vandalism: Damage Property,2020-10-06 22:25,Uva; Uva
20-01644,484: PC; Theft,2020-10-06 22:36,515 West End Wy #207 (Rev. 09/04/18)
20-01645,Found Prop.: Found Property,2020-10-06 19:30,2601 Warring St; Ckc Track
20-01646,Lost Prop.: Lost Property,2020-10-03 15:00,Latimer Hall; Latimer Hall
20-01647,MISC: Miscellaneous Report,2020-10-07 12:51,Ucpd; Ucpd
20-01648,415: PC; Disturb The Peace 417 (A)(1): PC; Exhibit Deadly Weapon Other Than Firearm,2020-10-07 15:31,2000 Carleton St
20-01649,484 (A): PC; Theft,2020-10-07 16:04,2301 Bancroft Wy; Rec Sprt Fac
20-01650,OA Assist: Outside Agency Assist,2020-10-03 12:00,2222 Bancroft Wy; Tang Center (Rev. 09/04/18)
20-01652,459: PC; Burglary: Second Degree 182: PC; Criminal Conspiracy,2020-10-08 23:07,Univ House; CX (Rev. 09/04/18)
20-01653,484: PC; Theft,2020-10-09 07:23,North Sproul Lot; North Sproul Lot
20-01654,602 (M): PC; Trespass:drive On Private Property (Amended),2020-10-09 11:35,2400 Durant Av; Unit-3 Norton
20-01655,Caslty: Injury/Illness,2020-10-09 13:19,2415 Bowditch St; Crossroads
20-01656,11377 (A): HS; Possess Controlled Substance,2020-10-09 12:35,2500 Haste St
20-01657,484 (A): PC; Theft,2020-10-08 04:30,605 Ohlone Av #615 (Rev. 09/04/18)
20-01658,22651 (K): VC; Abandon Vehicle,2020-10-10 10:19,Dwight Wy EAST Bowditch St
20-01659,22651 (K): VC; Abandon Vehicle,2020-10-10 10:21,Dwight Wy EAST Bowditch St
20-01660,261: PC; Rape:not Specified 273.5 (A): PC; Inflict Corporal Injury On Spouse/Cohabitant 594 (A): PC; Vandalism,2020-10-10 11:49,Uva; UVA
20-01661,PRODAM: Property Damage,2020-09-29 10:00,Memorial Stadium; Memorial Stadium
20-01662,242: PC; Battery,2020-10-10 15:49,Moses Hall; Moses Hall
20-01663,Found Prop.: Found Property,2020-10-10 22:38,2400 Durant Av; Unit-3 Norton (Rev. 09/04/18)
20-01665,FIRE: Fire,2020-10-11 09:07,Uva; Uva
20-01666,484: PC; Petty Theft,2020-10-11 11:27,CAL STUDENT STORE
20-01667,626: Exclusion Order Issued,2020-10-11 11:45,2222 Bancroft Wy; Tang Center
20-01668,OABPD: Outside Assist - BPD 2800.1 (A): VC; Evading Peace Officer 23103: VC; Reckless Driving (Amended),2020-10-11 16:25,Durant Av WEST TELE (Rev. 09/04/18)
20-01669,2800.1 (A): VC; Evading Peace Officer,2020-10-12 01:12,Uva; Uva
20-01670,484 (A): PC; Petty Theft,2020-10-10 12:30,3200 Regatta Blvd
20-01671,459: PC; Burglary: First Degree,2020-10-12 10:16,Strawberry Rec Center; Strawberry Rec Center
20-01672,243.4: PC; Sexual Battery,2017-01-01 09:30,Stern Hall; Stern Hall
20-01673,PRODAM: Property Damage,2020-10-09 10:12,Lower Sproul Garage; Lower Sproul Garage
20-01674,594: PC; Malicious Mischief/Vandalism,2020-10-12 22:06,685 Libertyship Wy #102
20-01675,PRODAM: Property Damage,2020-10-12 22:38,Dwinelle Hall; Dwinelle Hall (Rev. 09/04/18)
20-01676,594 (A)(1): PC; Vandalism: Deface Property,2020-10-13 10:17,Mlk; Mlk
20-01677,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-10-13 13:30,2400 Durant Av; Unit-3 Norton (Rev. 09/04/18)
20-01679,5150: WI; 72 Hour Mental Health Hold,2020-10-14 07:39,Sproul Hall; Sproul Hall
20-01680,22651(o)(1): VC; Stored Vehicle-Registration Expired Over 6 Months Rec-Stolen: Recovered Stolen Vehicle SUPP: Supplemental Reports 10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft,2020-10-14 13:21,Morgan Hall; Morgan Hall
20-01681,626: Exclusion Order Issued,2020-10-14 16:18,Life Science Addition; Lsa
20-01682,"OUT WRTM: Other Agency Warrant, Misd",2020-10-14 22:31,Underhill Lot; Underhill Lot (Rev. 09/04/18)
20-01683,Caslty: Injury/Illness,2020-10-15 12:19,2601 Warring St; Ckc Track
20-01686,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-09-30 23:00,405 Red Oak Ave #303
20-01688,602: PC; Tresspassing,2020-10-15 18:37,305 West End Wy #207
20-01689,"OUT WRTF: Other Agency Warrant, Fel",2020-10-15 18:33,Uva #PLAZA; Uva
20-01690,5150: WI; 72 Hour Mental Health Hold Domestic Violence,2020-10-15 22:44,2400 Durant Av; Unit-3 Priestly UVA (Rev. 09/04/18)
20-01691,594: PC; Malicious Mischief/Vandalism,2020-10-16 08:21,Lhs; Lhs
20-01692,PRODAM: Property Damage,2020-10-16 10:04,2601 Warring St; Ckc
20-01693,Caslty: Injury/Illness,2020-10-16 12:46,Obrien Hall; Obrien Hall
20-01694,484: PC; Theft,2020-10-15 12:42,2200 Bancroft Wy
20-01695,22651(n): VC; Posted Tow Away Zone,2020-10-16 19:06,747 Red Oak Ave
20-01696,484: PC; Theft,2020-10-13 02:30,605 Ohlone Av #615 (Rev. 09/04/18)
20-01697,626: Exclusion Order Issued,2020-10-17 08:17,Ellsworth Parking Structure; Structure C
20-01698,484 (A): PC; Theft,2020-10-17 04:00,805 Kinkead Wy #105
20-01700,594: PC; Malicious Mischief/Vandalism,2020-10-17 14:43,Dwinelle Hall; Dwinelle Hall
20-01702,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-10-17 16:43,Kroeber Hall; Kroeber Hall (Rev. 09/04/18)
20-01703,Caslty: Injury/Illness,2020-10-18 00:10,Bancroft Library; Bancroft Library
20-01704,5150: WI; 72 Hour Mental Health Hold,2020-10-18 01:07,Ucpd; Ucpd
20-01705,647(F): PC; Disorderly Conduct; Under Influence,2020-10-18 02:04,Morrison Hall; Morrison Hall
20-01706,647 (H): PC; Disorderly Conduct:lodge W/O Consent (Amended),2020-10-18 06:15,755 Ohlone Av (Rev. 09/04/18)
20-01709,484 G: PC; Theft By Use of Access Card Information,2020-09-25 08:00,Shared Services; Shared Services
20-01710,594 (B)(1): PC; Vandalism ($400 Or More),2020-10-19 09:15,2400 Durant Av; Unit-3 Dining (Rev. 09/04/18)
20-01712,594: PC; Malicious Mischief/Vandalism,2020-10-19 18:37,2850 Telegraph Av
20-01713,594 (A): PC; Vandalism [under $1000],2020-10-20 07:57,Barrows Hall; Barrows Hall
20-01714,484: PC; Theft,2020-07-02 21:00,Moffitt Library; Moffitt Library
20-01715,DEMO: Demonstration,2020-10-20 08:45,Peoples Park; Peoples Park
20-01717,MISC: Miscellaneous Report,2020-10-20 09:02,Strawberry Center; Strawberry Center
20-01718,OABPD: Outside Assist - BPD 10-42: Welfare Check,2020-10-20 18:27,2201 Dwight Wy #214
20-01719,626.10 (B): PC; Possess Weapon/Etc On Campus:not Firearm 4573: PC; Bring Controlled Substance/Etc Into Prison/Jail/Etc 1203.2 (A): PC; Probation Violation:rearrest/Revoke 166 (A)(4): PC; Contempt of Court:disobey Court Order/Etc,2020-10-20 21:26,Max Martinez; Max Martinez (Rev. 09/04/18)
20-01720,5150: WI; 72 Hour Mental Health Hold 626: Exclusion Order Issued,2020-10-21 04:29,660 Kinkead Wy #102
20-01721,626: Exclusion Order Issued,2020-10-21 11:43,Mlk; Mlk
20-01722,MP: Missing Person,2020-10-21 10:49,2201 Dwight Wy #214; Garden Village
20-01723,415: PC; Disturb The Peace,2020-10-21 15:20,1075 Monroe St
20-01724,10852: VC; Tamper With Vehicle,2020-10-21 19:37,2601 Warring St; Ckc-22 (Rev. 09/04/18)
20-01727,MISC: Miscellaneous Report,2020-10-22 12:39,2515 Channing Wy
20-01728,594: PC; Malicious Mischief/Vandalism,2020-10-22 15:52,Uva; Uva
20-01729,594: PC; Malicious Mischief/Vandalism,2020-10-22 20:20,Smyth-Fernwald; Smyth-Fernwald (Rev. 09/04/18)
20-01730,10-42: Welfare Check,2020-10-23 00:02,Pimentel Hall; Pimentel Hall
20-01731,INFO: Information Only Report,2020-10-23 02:43,735 West End Wy #202
20-01732,594: PC; Malicious Mischief/Vandalism 484: PC; Theft,2020-10-22 23:30,940 Red Oak
20-01733,Lost Prop.: Lost Property,2019-05-29 05:37,Donner Lab; Donner Lab
20-01735,594: PC; Malicious Mischief/Vandalism 422: PC; Threaten Crime W/Intent to Terrorize 5150: WI; 72 Hour Mental Health Hold,2020-10-23 15:20,DURANT/ELLSWORTH
20-01736,459.5 (A): PC; Burglary: Retail Merchandise Less Than $950,2020-10-23 15:07,Cal Student Store
20-01737,"OUT WRTF: Other Agency Warrant, Fel",2020-10-23 15:39,Cal Student Store
20-01738,Found Prop.: Found Property,2020-10-23 09:14,Telegraph Av & Dwight Wy
20-01739,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-10-23 21:14,1125 Jackson St (Rev. 09/04/18)
20-01740,22651(o)(1): VC; Stored Vehicle-Registration Expired Over 6 Months,2020-10-24 09:54,Fourth SOUTH Harrison
20-01741,148.4 (A)(1): PC; Tamper/Etc With Fire Alarm/Etc,2020-10-24 22:28,Lower Sproul Garage; Lower Sproul Garage (Rev. 09/04/18)
20-01742,INFO: Information Only Report,2020-10-25 12:36,755 Ohlone Av; Uva-104 (Rev. 09/04/18)
20-01743,485: PC; Appropriate Lost Property,2020-10-25 02:00,Simon Hall; Simon Hall
20-01744,5150: WI; 72 Hour Mental Health Hold OA Assist: Outside Agency Assist,2020-10-26 12:14,NW Anim Facil; NW Anim Facil
20-01747,FIRE: Fire,2020-10-26 16:52,2400 Durant Av; Unit-3 Dining
20-01749,Caslty: Injury/Illness,2020-10-26 18:41,Strawberry Center; Strawberry Center (Rev. 09/04/18)
20-01750,Caslty: Injury/Illness,2020-10-27 00:01,435 Gooding Wy #457
20-01752,594: PC; Malicious Mischief/Vandalism 422.6 (B): PC; Damage/Etc Property to Violate Civil Rights,2020-10-27 01:48,2601 Warring St; Ckc-22
20-01753,484: PC; Petty Theft,2020-10-24 02:07,Gilman Hall; Gilman Hall
20-01754,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-10-27 12:15,Upper Hearst Structure; Upper Hearst Structure
20-01755,PRODAM: Property Damage,2020-10-27 17:38,2334 Bowditch St (Rev. 09/04/18)
20-01757,Caslty: Injury/Illness,2020-10-28 13:07,2301 Bancroft Wy; RSF
20-01758,594: PC; Malicious Mischief/Vandalism,2020-10-27 19:13,2301 Bancroft Wy; RSF (Rev. 09/04/18)
20-01759,OA Assist: Outside Agency Assist SUPP: Supplemental Reports,2020-10-29 08:58,Grizzly Peak Bl
20-01760,626: Exclusion Order Issued,2020-10-29 11:49,2000 Carleton St
20-01763,Civil: Civil Information Report,2020-10-29 19:55,755 Ohlone Av #785
20-01764,484 (A): PC; Petty Theft 594 (A): PC; Vandalism [under $1000],2020-10-24 21:00,Dwinelle Hall; Dwinelle Hall (Rev. 09/04/18)
20-01765,Lost Prop.: Lost Property,2020-09-28 20:30,2222 Bancroft Wy; Tang Center
20-01766,PRODAM: Property Damage,2020-10-30 18:09,Underhill Lot; Underhill Lot
20-01767,PRODAM: Property Damage,2020-10-30 07:32,Wickson Gate; Wickson Gate
20-01768,243.4 (E)(1): PC; Touch Person Intimately Against Will For Sexual Arousal/Etc,2020-10-30 20:36,Cesar Chavez Center; Cesar Chavez Center (Rev. 09/04/18)
20-01769,415: PC; Disturb The Peace,2020-10-31 08:44,485 Ohlone Av #109
20-01770,417 (A)(1): PC; Exhibit Deadly Weapon Other Than Firearm 5150: WI; 72 Hour Mental Health Hold 245 (A)(1): PC; Assault W Deadly Weapon:not F/Arm,2020-10-31 13:30,West Cr; West Cr
20-01771,487 (A): PC; Grand Theft:money/Labor/Property Over $950 484 G: PC; Theft By Use of Access Card Information,2020-10-31 10:45,Haas Pavilion; Haas Pavilion
20-01772,148.4: PC; False Fire Alarm,2020-10-31 18:25,Lower Sproul Garage; Lower Sproul Garage
20-01773,242: PC; Battery,2020-10-31 19:15,Lower Sproul Pz; Lower Sproul Pz
20-01774,Caslty: Injury/Illness,2020-10-31 22:54,2650 Haste St; Unit-2 Wada (Rev. 09/04/18)
20-01445,459: PC; Burglary: First Degree,2020-08-31 18:15,Hearst Gym; Hearst Gym
20-01446,"243 (A): PC; Battery On Person 148 (A)(1): PC; Resist/Obstruct Police Officer, Etc 1203.2 (A): PC; Probation Violation:rearrest/Revoke 5150: WI; 72 Hour Mental Health Hold 166 (A)(4): PC; Contempt of Court:disobey Court Order/Etc",2020-09-01 08:28,Peoples Park; Peoples Park
20-01447,Found Prop.: Found Property,2020-09-01 09:10,Peoples Park; Peoples Park
20-01448,PRODAM: Property Damage,2020-09-01 11:10,Memorial Glade; Memorial Glade
20-01449,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-09-01 20:00,1608 4th St; Css (Rev. 09/04/18)
20-01450,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-09-02 01:08,Edwards Stadium; Edwards Stadium
20-01451,Caslty: Injury/Illness,2020-09-02 00:49,625 West End Wy #106
20-01452,Caslty: Injury/Illness,2020-09-02 11:40,UVA
20-01453,594: PC; Malicious Mischief/Vandalism,2020-08-31 01:05,2232 Piedmont Av
20-01455,10-42: Welfare Check,2020-09-02 20:59,2424 Haste St #B41; Rochdale Village (Rev. 09/04/18)
20-01456,487 (C): PC; Grand Theft From Person STO-22651 (g): VC; Driver Incapacitated 422.6 (A): PC; Violate Civil Rights By Force Or Threat of Force,2020-09-03 09:25,Signpost-14
20-01457,166 (A)(4): PC; Contempt of Court:disobey Court Order/Etc 11377 (A): HS; Possess Controlled Substance,2020-09-03 20:01,Memorial Stadium; Memorial Stadium
20-01458,487 (A): PC; Grand Theft of Money/Labor/Property Exceed $950 (Blocked),2020-09-03 18:03,2175 Gayley Rd; Stadium Parking Structure (Rev. 09/04/18)
20-01459,Caslty: Injury/Illness,2020-09-04 10:57,Edwards Track; Edwards Track (Rev. 09/04/18)
20-01460,Caslty: Injury/Illness,2020-09-05 01:19,17 Gauss Wy; MSRI
20-01461,245 (A)(1): PC; Assault W Deadly Weapon:not F/Arm 626: Exclusion Order Issued,2020-09-05 02:01,Peoples Park; Peoples Park
20-01462,626: Exclusion Order Issued,2020-09-05 06:26,2224 Piedmont Av
20-01463,594 (A)(1): PC; Vandalism: Deface Property,2020-09-05 22:29,Univ House; CX (Rev. 09/04/18)
20-01464,Caslty: Injury/Illness,2020-09-06 00:23,Max Martinez; Max Martinez
20-01465,5150: WI; 72 Hour Mental Health Hold,2020-09-06 00:54,2415 Bowditch St; Crossroads
20-01466,5150: WI; 72 Hour Mental Health Hold OABPD: Outside Assist - BPD,2020-09-06 09:39,1101 Eighth Street
20-01467,484 (A): PC; Theft,2020-04-03 20:00,Uva; Uva
20-01468,484: PC; Theft,2020-09-06 14:50,2601 Warring St; Ckc-20 (Rev. 09/04/18)
20-01469,Caslty: Injury/Illness,2020-09-07 03:39,2441 Haste St; Sequoia Apts
20-01470,22651(o)(1): VC; Stored Vehicle-Registration Expired Over 6 Months,2020-09-07 08:22,1111 8TH ST
20-01471,"OUT WRTM: Other Agency Warrant, Misd 14601.1(A): VC; Driving While Lic Suspended/Revoked",2020-09-07 09:45,Durant Av & Ellsworth St
20-01472,211: PC; Robbery 245: PC; Assault W/Deadly Weapon 211: PC; Robbery:second Degree 245 (A)(4): PC; Adw With Force:possible Gbi SUPP: Supplemental Reports,2020-09-07 15:42,Valley Life Science Bldg; VLSB
20-01473,594: PC; Malicious Mischief/Vandalism,2020-09-07 21:01,Lawrence Hall of Science; Lawrence Hall of Science
20-01474,484 (A): PC; Theft,2020-09-07 20:45,Memorial Glade; Memorial Glade (Rev. 09/04/18)
20-01475,626: Exclusion Order Issued,2020-09-08 06:40,Asuc Garage; Asuc Garage
20-01476,166 (A)(4): PC; Contempt of Court:disobey Court Order/Etc,2020-09-08 06:18,Asuc Garage; Asuc Garage
20-01477,484: PC; Theft,2020-09-04 06:00,415 Kula Gulf Wy #104
20-01479,594: PC; Malicious Mischief/Vandalism,2020-09-06 17:50,2536 Channing Wy #103; Anna Head
20-01480,5150: WI; 72 Hour Mental Health Hold,2020-09-08 21:05,Peoples Park; Peoples Park
20-01481,459V-F: PC; Burglary Vehicle,2020-09-07 20:35,515 West End Wy (Rev. 09/04/18)
20-01482,OALBNL: Outside Assist - LBNL,2020-09-09 07:32,#124; LBNL-55
20-01483,484: PC; Theft,2020-09-08 22:47,Uva Grounds Shop; Uva Grounds Shop
20-01485,11351 (1): HS; Possess Narcotic Controlled Substance For Sale/Purchase 22210: PC; Manufacture/Sale/Possess/Etc Leaded Cane/Billy/Etc 4463: VC; Forge/Alter Vehicle Registration/Etc,2020-09-09 14:04,Durant Av E Telegraph Av
20-01486,PRODAM: Property Damage,2020-09-09 15:24,Bancroft\fulton Lot; Bancroft/Fulton
20-01488,594 (A)(2): VC; Vandalism Less Than $400,2020-09-09 13:02,Bancroft\fulton Lot; Bancroft/Fulton
20-01489,5150: WI; 72 Hour Mental Health Hold,2020-09-09 18:33,Ucpd; Ucpd (Rev. 09/04/18)
20-01490,25620: BP; Possess Open Container of Alcohol In Public,2020-09-10 08:49,Anthony Hall; Anthony Hall
20-01492,487 (A): PC; Grand Theft:money/Labor/Property Over $950 10852: VC; Tamper With Vehicle,2020-09-09 14:37,2200 Bancroft Wy
20-01493,484 (A): PC; Petty Theft,2020-09-07 21:32,1000 6th St; Uva-147 (Rev. 09/04/18)
20-01494,"OUT WRTM: Other Agency Warrant, Misd",2020-09-11 09:03,Stephens Hall; Stephens Hall
20-01496,626: Exclusion Order Issued,2020-09-11 15:52,305 West End Wy #207 (Rev. 09/04/18)
20-01498,594 (A): PC; Vandalism [under $1000],2020-09-12 00:45,Wheeler Hall; Wheeler Hall
20-01499,"OUT WRTF: Other Agency Warrant, Fel",2020-09-12 02:16,540 Red Oak Ave
20-01500,626: Exclusion Order Issued 488: PC; Petty Theft,2020-09-12 09:31,Minor Hall; Minor Hall
20-01501,484 (A): PC; Theft,2020-09-10 17:00,715 Kinkead Wy #301
20-01503,Caslty: Injury/Illness,2020-09-12 19:31,Spieker Pz; Spieker Pz (Rev. 09/04/18)
20-01504,OABPD: Outside Assist - BPD,2020-09-13 08:33,2501 Telegraph Av
20-01505,10853: VC; Malicious Mischief to Vehicle 594 (B)(1): PC; Vandalism ($400 Or More),2020-09-13 12:21,Lower Sproul Garage; Lower Sproul Garage
20-01506,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-09-13 05:37,2175 Gayley Rd; Stadium Parking Structure (Rev. 09/04/18)
20-01507,5150: WI; 72 Hour Mental Health Hold,2020-09-14 02:02,Sproul Hall; Sproul Hall
20-01509,626.6: PC; Nonstudent Refuse to Leave Campus (Amended),2020-09-14 06:36,Asuc Garage; Asuc Garage
20-01511,Castly; Injury,2020-09-14 19:00,Moffitt Library (Rev. 09/04/18)
20-01512,PRODAM: Property Damage,2020-09-15 03:24,GP
20-01513,602 (M): PC; Trespass:drive On Private Property (Amended),2020-09-15 06:35,2195 Hearst Av; Warren Hall
20-01514,532 (A): PC; Obtain Money/Etc By False Pretenses [over $400] 530.5 (C)(1): PC; Possess Personal Identifying Info With Intent to Defraud,2020-09-15 10:55,1111 Franklin St; UCOP
20-01515,212.5: PC; Robbery,2020-09-15 18:23,2601 Warring St #303; Ckc-9
20-01519,INFO: Information Only Report,2020-09-15 20:42,2220 Piedmont Av; Haas Business School
20-01520,484: PC; Theft,2020-09-15 15:55,Pimentel Hall; Pimentel Hall (Rev. 09/04/18)
20-01522,484: PC; Theft,2020-09-16 13:15,Life Science Addition; Lsa
20-01524,Found Prop.: Found Property,2020-09-16 17:20,Underhill Lot; Underhill Lot
20-01525,484: PC; Theft,2020-09-16 18:40,2601 Warring St; Ckc Track
20-01527,Found Prop.: Found Property,2020-09-16 22:33,Upper Sproul Pz; Upper Sproul Pz (Rev. 09/04/18)
20-01526,Found Prop.: Found Property,2020-09-17 00:12,Spieker Pz; Spieker Pz
